Id,Weekly_Sales
1_1_2012-11-02,19245.00023107318
1_1_2012-11-09,20093.530390747143
1_1_2012-11-16,20773.664221745403
1_1_2012-11-23,26627.766679046
1_1_2012-11-30,18360.580554468033
1_1_2012-12-07,23794.348837609257
1_1_2012-12-14,18664.38201358013
1_1_2012-12-21,20902.374923553773
1_1_2012-12-28,18942.632786041806
1_1_2013-01-04,25395.217609827792
1_1_2013-01-11,19964.96342607299
1_1_2013-01-18,22562.60452320305
1_1_2013-01-25,18751.75659281416
1_1_2013-02-01,16052.206695795545
1_1_2013-02-08,22724.163732995752
1_1_2013-02-15,20265.157233762573
1_1_2013-02-22,20119.097789318126
1_1_2013-03-01,19628.964178172326
1_1_2013-03-08,20779.43785709035
1_1_2013-03-15,22615.99968070818
1_1_2013-03-22,20559.336254839076
1_1_2013-03-29,21679.612852414983
1_1_2013-04-05,15973.182114023735
1_1_2013-04-12,18165.175682983365
1_1_2013-04-19,19482.132318748743
1_1_2013-04-26,18603.665808652102
1_1_2013-05-03,20605.231021899195
1_1_2013-05-10,22225.233086972345
1_1_2013-05-17,15366.948298944422
1_1_2013-05-24,20545.50037592055
1_1_2013-05-31,20200.086570654836
1_1_2013-06-07,20226.18314354415
1_1_2013-06-14,19039.314471831316
1_1_2013-06-21,17246.189320406134
1_1_2013-06-28,18753.866366795068
1_1_2013-07-05,18450.833315157543
1_1_2013-07-12,17564.480460053604
1_1_2013-07-19,18627.05388433588
1_1_2013-07-26,17954.085150876876
1_2_2012-11-02,19245.00023107318
1_2_2012-11-09,20093.530390747143
1_2_2012-11-16,20773.664221745403
1_2_2012-11-23,26627.766679046
1_2_2012-11-30,18360.580554468033
1_2_2012-12-07,23794.348837609257
1_2_2012-12-14,18664.38201358013
1_2_2012-12-21,20902.374923553773
1_2_2012-12-28,18942.632786041806
1_2_2013-01-04,25395.217609827792
1_2_2013-01-11,19964.96342607299
1_2_2013-01-18,22562.60452320305
1_2_2013-01-25,18751.75659281416
1_2_2013-02-01,16052.206695795545
1_2_2013-02-08,22724.163732995752
1_2_2013-02-15,20265.157233762573
1_2_2013-02-22,20119.097789318126
1_2_2013-03-01,19628.964178172326
1_2_2013-03-08,20779.43785709035
1_2_2013-03-15,22615.99968070818
1_2_2013-03-22,20559.336254839076
1_2_2013-03-29,21679.612852414983
1_2_2013-04-05,15973.182114023735
1_2_2013-04-12,18165.175682983365
1_2_2013-04-19,19482.132318748743
1_2_2013-04-26,18603.665808652102
1_2_2013-05-03,20605.231021899195
1_2_2013-05-10,22225.233086972345
1_2_2013-05-17,15366.948298944422
1_2_2013-05-24,20545.50037592055
1_2_2013-05-31,20200.086570654836
1_2_2013-06-07,20226.18314354415
1_2_2013-06-14,19039.314471831316
1_2_2013-06-21,17246.189320406134
1_2_2013-06-28,18753.866366795068
1_2_2013-07-05,18450.833315157543
1_2_2013-07-12,17564.480460053604
1_2_2013-07-19,18627.05388433588
1_2_2013-07-26,17954.085150876876
1_3_2012-11-02,19245.00023107318
1_3_2012-11-09,20093.530390747143
1_3_2012-11-16,20773.664221745403
1_3_2012-11-23,26627.766679046
1_3_2012-11-30,18360.580554468033
1_3_2012-12-07,23794.348837609257
1_3_2012-12-14,18664.38201358013
1_3_2012-12-21,20902.374923553773
1_3_2012-12-28,18942.632786041806
1_3_2013-01-04,25395.217609827792
1_3_2013-01-11,19964.96342607299
1_3_2013-01-18,22562.60452320305
1_3_2013-01-25,18751.75659281416
1_3_2013-02-01,16052.206695795545
1_3_2013-02-08,22724.163732995752
1_3_2013-02-15,20265.157233762573
1_3_2013-02-22,20119.097789318126
1_3_2013-03-01,19628.964178172326
1_3_2013-03-08,20779.43785709035
1_3_2013-03-15,22615.99968070818
1_3_2013-03-22,20559.336254839076
1_3_2013-03-29,21679.612852414983
1_3_2013-04-05,15973.182114023735
1_3_2013-04-12,18165.175682983365
1_3_2013-04-19,19482.132318748743
1_3_2013-04-26,18603.665808652102
1_3_2013-05-03,20605.231021899195
1_3_2013-05-10,22225.233086972345
1_3_2013-05-17,15366.948298944422
1_3_2013-05-24,20545.50037592055
1_3_2013-05-31,20200.086570654836
1_3_2013-06-07,20226.18314354415
